Step,hyper33 - train_loss,hyper33 - val_loss
0,0.004171848,0.095054366
1,0.001073061,0.063562676
2,0.000850742,0.05451813
3,0.000734078,0.047184937
4,0.000628989,0.045811206
5,0.000564067,0.042177469
6,0.000540257,0.038684696
7,0.000481499,0.041483648
8,0.000439819,0.038853351
9,0.000412985,0.035233948
10,0.000431231,0.034256898
11,0.000370052,0.033005808
12,0.00040961,0.039080769
13,0.000396586,0.03496021
14,0.000298677,0.032458004
15,0.000304981,0.032988355
16,0.00027997,0.033793967
17,0.000288343,0.033658542
18,0.000289227,0.030889723
19,0.000267859,0.030931126
20,0.000299434,0.030463662
21,0.000281183,0.0284507
22,0.000228629,0.031549465
23,0.000223052,0.028437236
24,0.000242092,0.029797992
25,0.000217421,0.029016986
26,0.000221851,0.028588997
27,0.000208034,0.029626299
28,0.000192308,0.029643752
29,0.000257285,0.028684586
30,0.000198103,0.027508456
31,0.000205402,0.028143346
32,0.000182923,0.028067973
33,0.000170668,0.028183982
34,0.00016781,0.028898899
35,0.000184868,0.02758879
36,0.000189828,0.028544081
37,0.000155964,0.027084369
38,0.000156333,0.028218845
39,0.000196832,0.030833103
40,0.000218861,0.026879635
41,0.000190275,0.027059291
42,0.000163517,0.027125698
43,0.000153412,0.026872732
44,0.000169195,0.026152708
45,0.000180459,0.027634911
46,0.000166373,0.027122982
47,0.000129284,0.028209316
48,0.000123199,0.028936526
49,0.000169497,0.026060238
50,0.000160859,0.02672381
51,0.00011222,0.026682919
52,0.00014039,0.028162692
53,0.000131251,0.026501991
54,0.000151402,0.026797688
55,0.000190135,0.027585084
56,0.000131383,0.027211338
57,0.000114158,0.02729957
58,0.000128722,0.026636405
59,0.000118674,0.026308529
60,0.000122745,0.026609469
61,0.000101126,0.02730915
62,0.000114656,0.027383465
63,0.000115571,0.026857166
64,0.000106286,0.028388713
65,0.000123855,0.027097357
66,0.00013774,0.026761379
67,9.73528E-05,0.027391251
68,9.47913E-05,0.027124926
69,0.000133523,0.026901854
70,0.000109305,0.027440364
71,0.00010874,0.026782632
72,0.000114682,0.026852163
73,9.7879E-05,0.027889011
74,0.000135294,0.027350215
75,9.97386E-05,0.028418195
76,0.000106582,0.028316718
77,0.000104384,0.028628075
78,9.52837E-05,0.028685957
79,0.000108703,0.028246211
80,8.25787E-05,0.027890366
81,8.42392E-05,0.027885174
82,8.76069E-05,0.028223241
83,9.41529E-05,0.027561296
84,9.13121E-05,0.027571075
85,8.14032E-05,0.028202225
86,0.000130857,0.028631143
87,7.92631E-05,0.028082753
88,8.39641E-05,0.02796006
89,9.39765E-05,0.028163465
90,8.21481E-05,0.028049922
91,7.96945E-05,0.027204206
92,7.55119E-05,0.027647289
93,7.03525E-05,0.027659329
94,6.90955E-05,0.027393328
95,0.000119248,0.027932269
96,8.41355E-05,0.028776987
97,0.000110998,0.028495042
98,0.0001049,0.028422434
99,7.35361E-05,0.028896965
