Date,Open,High,Low,Close,Volume,Change,Transaction
2000-08-02,6100,6170,5930,6070,743825,,4515017750
2000-08-03,6180,6180,5970,6030,556342,-0.00658978583196046,3354742260
2000-08-04,5930,6010,5850,5920,472137,-0.018242122719734688,2795051040
2000-08-07,5740,5770,5580,5580,575355,-0.057432432432432456,3210480900
2000-08-08,5660,5750,5570,5580,669550,0.0,3736089000
2000-08-09,5680,6040,5680,6000,791495,0.07526881720430101,4748970000
2000-08-10,6000,6160,5860,6160,816612,0.026666666666666616,5030329920
2000-08-11,6000,6070,5880,5960,676890,-0.03246753246753242,4034264400
2000-08-14,6060,6160,6000,6020,474664,0.010067114093959662,2857477280
2000-08-16,6500,6530,6330,6420,1038360,0.06644518272425248,6666271200
2000-08-17,6480,6560,6340,6440,726926,0.0031152647975076775,4681403440
2000-08-18,6500,6520,6200,6200,427433,-0.037267080745341574,2650084600
2000-08-21,6200,6340,6190,6270,419000,0.011290322580645107,2627130000
2000-08-22,6260,6470,6240,6460,554252,0.030303030303030276,3580467920
2000-08-23,6450,6450,6160,6190,558191,-0.04179566563467496,3455202290
2000-08-24,6260,6300,6100,6220,634031,0.004846526655896577,3943672820
2000-08-25,6180,6400,6110,6400,439289,0.02893890675241151,2811449600
2000-08-28,6340,6380,6260,6330,352697,-0.010937500000000044,2232572010
2000-08-29,6320,6380,6160,6220,335311,-0.017377567140600347,2085634420
2000-08-30,6140,6190,6020,6030,474778,-0.030546623794212246,2862911340
2000-08-31,5900,5900,5380,5470,2282425,-0.09286898839137647,12484864750
2000-09-01,5540,5600,5420,5540,999150,0.01279707495429605,5535291000
2000-09-04,5440,5550,5310,5340,572580,-0.03610108303249093,3057577200
2000-09-05,5260,5340,5030,5150,1595388,-0.035580524344569264,8216248200
2000-09-06,5200,5280,5090,5150,1062450,0.0,5471617500
2000-09-07,4940,4980,4760,4790,1678143,-0.06990291262135917,8038304970
2000-09-08,4900,4929,4790,4880,1143428,0.018789144050104456,5579928640
2000-09-14,4600,4710,4440,4710,2122625,-0.0348360655737705,9997563750
2000-09-15,4500,4620,4300,4350,1653972,-0.07643312101910826,7194778200
2000-09-18,4010,4120,3700,3970,2926173,-0.08735632183908049,11616906810
2000-09-19,3990,4370,3900,4160,2010503,0.04785894206549113,8363692480
2000-09-20,4600,4660,4460,4600,2068299,0.10576923076923084,9514175400
2000-09-21,4590,4660,4320,4400,1308910,-0.04347826086956519,5759204000
2000-09-22,3840,4050,3780,3800,2065320,-0.13636363636363635,7848216000
2000-09-25,3879,4110,3840,4090,1319773,0.07631578947368411,5397871570
2000-09-26,3900,4040,3900,4000,1168610,-0.022004889975550168,4674440000
2000-09-27,4000,4100,3959,4030,1395909,0.007500000000000062,5625513270
2000-09-28,4100,4190,4030,4060,1049400,0.007444168734491274,4260564000
2000-09-29,4120,4120,3940,4040,1150741,-0.0049261083743842304,4648993640
2000-10-02,3840,3879,3760,3810,822417,-0.05693069306930698,3133408770
2000-10-04,3700,3950,3589,3890,1652739,0.0209973753280841,6429154710
2000-10-05,4019,4080,3939,3940,1254995,0.01285347043701801,4944680300
2000-10-06,3800,3899,3760,3900,1098710,-0.010152284263959421,4284969000
2000-10-09,3820,3840,3680,3690,1263995,-0.05384615384615388,4664141550
2000-10-10,3700,3810,3590,3660,1242900,-0.008130081300813052,4549014000
2000-10-11,3450,3459,3210,3220,2072111,-0.1202185792349727,6672197420
2000-10-12,3140,3280,3140,3140,1590749,-0.024844720496894457,4994951860
2000-10-13,3000,3090,2830,3030,2305962,-0.035031847133757954,6987064860
2000-10-16,3300,3380,3130,3160,2326392,0.04290429042904287,7351398720
2000-10-17,2980,3080,2730,2740,1306045,-0.13291139240506333,3578563300
2000-10-18,2540,2760,2420,2730,3284311,-0.0036496350364964014,8966169030
2000-10-19,2730,3050,2690,2900,2754409,0.06227106227106227,7987786100
2000-10-20,3239,3330,3190,3330,2376542,0.14827586206896548,7913884860
2000-10-23,3490,3520,3160,3200,2799260,-0.03903903903903905,8957632000
2000-10-24,3180,3419,3100,3340,1942318,0.043749999999999956,6487342120
2000-10-25,3200,3260,3130,3210,1374694,-0.038922155688622784,4412767740
2000-10-26,2930,3030,2740,2890,2665890,-0.09968847352024923,7704422100
2000-10-27,2960,3020,2840,2840,1463360,-0.01730103806228378,4155942400
2000-10-30,2800,2880,2720,2750,736657,-0.03169014084507038,2025806750
2000-10-31,2750,2850,2630,2850,1263847,0.036363636363636376,3601963950
2000-11-01,3000,3270,2960,3260,1883300,0.14385964912280702,6139558000
2000-11-02,3200,3429,3170,3320,2463636,0.018404907975460016,8179271520
2000-11-03,3420,3470,3370,3440,1608435,0.03614457831325302,5533016400
2000-11-06,3460,3670,3380,3510,1437330,0.02034883720930236,5045028300
2000-11-07,3460,3550,3380,3440,1074804,-0.019943019943019946,3697325760
2000-11-08,3399,3460,3280,3410,1164384,-0.008720930232558155,3970549440
2000-11-09,3300,3430,3260,3400,1046171,-0.0029325513196480912,3556981400
2000-11-10,3360,3440,3320,3380,702840,-0.00588235294117645,2375599200
2000-11-13,3220,3260,3100,3150,1021457,-0.06804733727810652,3217589550
2000-11-14,3210,3320,3210,3290,635154,0.04444444444444451,2089656660
2000-11-15,3449,3460,3319,3390,1114464,0.03039513677811545,3778032960
2000-11-16,3400,3420,3250,3280,748446,-0.03244837758112096,2454902880
2000-11-17,3180,3230,3150,3220,724553,-0.018292682926829285,2333060660
2000-11-20,3160,3210,3100,3100,535981,-0.037267080745341574,1661541100
2000-11-21,3080,3170,2970,3160,1032456,0.019354838709677358,3262560960
2000-11-22,3100,3220,3080,3140,754289,-0.006329113924050667,2368467460
2000-11-23,3140,3260,3140,3210,892960,0.022292993630573354,2866401600
2000-11-24,3310,3400,3270,3400,910673,0.05919003115264787,3096288200
2000-11-27,3600,3800,3570,3780,2004446,0.11176470588235299,7576805880
2000-11-28,3650,3650,3500,3520,1195439,-0.06878306878306883,4207945280
