Date,Operating_Profit,Net_Profit,Total_Equity,Total_Liabilities,Revenue
2001.1.1,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.2,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.3,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.4,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.5,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.8,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.9,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.10,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.11,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.12,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.15,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.16,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.17,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.18,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.19,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.22,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.23,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.24,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.25,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.26,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.29,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.30,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.1.31,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.1,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.2,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.5,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.6,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.7,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.8,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.9,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.12,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.13,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.14,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.15,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.16,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.19,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.20,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.21,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.22,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.23,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.26,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.27,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.2.28,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.1,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.2,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.5,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.6,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.7,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.8,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.9,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.12,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.13,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.14,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.15,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.16,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.19,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
2001.3.20,9.06034E+12,6.00288E+12,1.67855E+13,2.9636E+13,4.35278E+13
